Packet Number,Source IP,Destination IP,IHL(byte),DSCP,ECN,Protocol
508,172.16.10.1,172.16.11.1,20,0,0,6
509,172.16.11.1,172.16.10.1,20,0,0,6
510,172.16.11.1,172.16.10.1,20,0,0,6
511,172.16.10.1,172.16.11.1,20,0,0,6
512,172.16.11.1,172.16.10.1,20,0,0,6
513,172.16.11.1,172.16.10.1,20,0,0,6
514,172.16.10.1,172.16.11.1,20,0,0,6
515,172.16.11.1,172.16.10.1,20,0,0,6
516,172.16.11.1,172.16.10.1,20,0,0,6
517,172.16.10.1,172.16.11.1,20,0,0,6
518,172.16.11.1,172.16.10.1,20,0,0,6
519,172.16.10.1,172.16.11.1,20,0,0,6
520,172.16.11.1,172.16.10.1,20,0,0,6
521,172.16.11.1,172.16.10.1,20,0,0,6
522,172.16.10.1,172.16.11.1,20,0,0,6
523,172.16.11.1,172.16.10.1,20,0,0,6
524,172.16.11.1,172.16.10.1,20,0,0,6
525,172.16.10.1,172.16.11.1,20,0,0,6
526,172.16.11.1,172.16.10.1,20,0,0,6
527,172.16.11.1,172.16.10.1,20,0,0,6
528,172.16.10.1,172.16.11.1,20,0,0,6
