Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,UDP_Length
84132,2001:2221:0:91::c896,2001:385a:49a8:8984::43,53,55555,0,0,17,60+119,119
84198,2001:3959:ae47:0:8d:24:0:9a88,2001:3c00:5846:1a2a::300:54,53,65533,0,0,17,60+58,58
84576,2001:3959:ae47:0:8d:24:0:9a88,2001:3c00:5846:1a2a::300:54,53,65533,0,0,17,60+79,79
84687,2001:3959:ae47:0:8d:24:0:9a88,2001:3c00:5846:1a2a::300:54,53,65533,0,0,17,60+79,79
86851,2002:d090:4cfb::85,2001:3b65:3b00:7e::5e,3243,53,0,0,17,60+62,62
88980,2001:38ed:0:6c00::adff,2001:326c::e5,32769,53,0,0,17,60+51,51
89359,2001:3c52::3b,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+132,132
90069,2001:385a:498f:79::f4,2001:3c00:5846:1a2a::300:53,32816,53,0,0,17,60+47,47
90070,2001:385a:498f:79::f4,2001:3c00:5846:1a2a::300:53,32816,53,0,0,17,60+47,47
90185,2001:3c00:5846:1a2a::300:53,2001:385a:498f:79::f4,53,32816,0,0,17,60+103,103
90187,2001:3c00:5846:1a2a::300:53,2001:385a:498f:79::f4,53,32816,0,0,17,60+103,103
96386,2001:3de7:0:c1::4f,2001:3abe:66ff::6,2027,53,0,0,17,60+49,49
99141,2001:3ca7:7a:e90a:1b22:a2ff:7c68:fc80,2001:390a:51b2:1f1e::16,53,57032,0,0,17,60+104,104
99143,2001:3ca7:7a:e90a:1b22:a2ff:7c68:fc80,2001:390a:51b2:1f1e::16,53,57032,0,0,17,60+104,104
99274,2001:3c14:59c6:b02::8500,2001:3c00:5e2a:b4::db,53,47823,0,0,17,60+152,152
99436,2001:3c14:59c6:b02::8500,2001:3c00:5e2a:b4::db,53,47823,0,0,17,60+152,152
99540,2001:3c14:59c6:b02::8500,2001:3c00:5e2a:b4::db,53,47823,0,0,17,60+152,152
99858,2001:3c14:59c6:b02::8500,2001:3c00:5e2a:b4::db,53,47823,0,0,17,60+442,442
